Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Jan 6 2020,8:30p,Milwaukee Bucks,104,San Antonio Spurs,126,Box Score,,18354,
Mon Jan 6 2020,10:00p,Golden State Warriors,98,Sacramento Kings,111,Box Score,,15819,
Tue Jan 7 2020,7:00p,Detroit Pistons,115,Cleveland Cavaliers,113,Box Score,,17274,
Tue Jan 7 2020,7:00p,Portland Trail Blazers,101,Toronto Raptors,99,Box Score,,19800,
Tue Jan 7 2020,7:30p,Oklahoma City Thunder,111,Brooklyn Nets,103,Box Score,OT,15677,
Tue Jan 7 2020,8:00p,Minnesota Timberwolves,112,Memphis Grizzlies,119,Box Score,,14117,
Tue Jan 7 2020,9:00p,Sacramento Kings,114,Phoenix Suns,103,Box Score,,14134,
Tue Jan 7 2020,10:30p,New York Knicks,87,Los Angeles Lakers,117,Box Score,,18997,
Wed Jan 8 2020,7:00p,San Antonio Spurs,129,Boston Celtics,114,Box Score,,19156,
Wed Jan 8 2020,7:00p,Toronto Raptors,112,Charlotte Hornets,110,Box Score,OT,13965,
Wed Jan 8 2020,7:00p,Miami Heat,122,Indiana Pacers,108,Box Score,,17040,
Wed Jan 8 2020,7:00p,Washington Wizards,89,Orlando Magic,123,Box Score,,16013,
Wed Jan 8 2020,7:30p,Houston Rockets,122,Atlanta Hawks,115,Box Score,,16514,
Wed Jan 8 2020,7:30p,Denver Nuggets,107,Dallas Mavericks,106,Box Score,,20314,
Wed Jan 8 2020,8:00p,Chicago Bulls,108,New Orleans Pelicans,123,Box Score,,15324,
Wed Jan 8 2020,9:00p,New York Knicks,104,Utah Jazz,128,Box Score,,18306,
Wed Jan 8 2020,10:00p,Milwaukee Bucks,107,Golden State Warriors,98,Box Score,,18064,
Thu Jan 9 2020,7:00p,Cleveland Cavaliers,115,Detroit Pistons,112,Box Score,OT,13445,
Thu Jan 9 2020,7:00p,Boston Celtics,98,Philadelphia 76ers,109,Box Score,,20822,
Thu Jan 9 2020,8:00p,Portland Trail Blazers,102,Minnesota Timberwolves,116,Box Score,,13720,
Thu Jan 9 2020,9:30p,Houston Rockets,92,Oklahoma City Thunder,113,Box Score,,18203,
Fri Jan 10 2020,7:00p,Atlanta Hawks,101,Washington Wizards,111,Box Score,,16360,
Fri Jan 10 2020,7:15p,New Orleans Pelicans,123,New York Knicks,111,Box Score,,18003,
Fri Jan 10 2020,7:30p,Miami Heat,113,Brooklyn Nets,117,Box Score,,16011,
Fri Jan 10 2020,8:00p,Indiana Pacers,116,Chicago Bulls,105,Box Score,,20229,
Fri Jan 10 2020,8:00p,San Antonio Spurs,121,Memphis Grizzlies,134,Box Score,,16448,
Fri Jan 10 2020,9:00p,Orlando Magic,94,Phoenix Suns,98,Box Score,,14562,
Fri Jan 10 2020,9:00p,Charlotte Hornets,92,Utah Jazz,109,Box Score,,18306,
Fri Jan 10 2020,9:45p,Los Angeles Lakers,129,Dallas Mavericks,114,Box Score,,20542,
Fri Jan 10 2020,10:00p,Milwaukee Bucks,127,Sacramento Kings,106,Box Score,,17583,
Fri Jan 10 2020,10:30p,Golden State Warriors,100,Los Angeles Clippers,109,Box Score,,19068,
Sat Jan 11 2020,5:00p,Minnesota Timberwolves,109,Houston Rockets,139,Box Score,,18055,
Sat Jan 11 2020,7:00p,New Orleans Pelicans,105,Boston Celtics,140,Box Score,,19156,
Sat Jan 11 2020,7:00p,Chicago Bulls,108,Detroit Pistons,99,Box Score,,15951,
Sat Jan 11 2020,8:00p,Los Angeles Lakers,125,Oklahoma City Thunder,110,Box Score,,18203,
Sat Jan 11 2020,8:30p,Philadelphia 76ers,91,Dallas Mavericks,109,Box Score,,20244,
Sat Jan 11 2020,9:00p,Cleveland Cavaliers,111,Denver Nuggets,103,Box Score,,19533,
Sat Jan 11 2020,10:00p,Milwaukee Bucks,122,Portland Trail Blazers,101,Box Score,,19843,
Sun Jan 12 2020,3:30p,Miami Heat,121,New York Knicks,124,Box Score,,18861,
Sun Jan 12 2020,3:30p,Utah Jazz,127,Washington Wizards,116,Box Score,,15953,
Sun Jan 12 2020,6:00p,Atlanta Hawks,86,Brooklyn Nets,108,Box Score,,15201,
Sun Jan 12 2020,6:00p,Golden State Warriors,102,Memphis Grizzlies,122,Box Score,,16408,
Sun Jan 12 2020,6:00p,San Antonio Spurs,105,Toronto Raptors,104,Box Score,,19800,
Sun Jan 12 2020,8:00p,Los Angeles Clippers,104,Denver Nuggets,114,Box Score,,19520,
Sun Jan 12 2020,8:00p,Charlotte Hornets,92,Phoenix Suns,100,Box Score,,14751,
Mon Jan 13 2020,7:00p,New Orleans Pelicans,117,Detroit Pistons,110,Box Score,OT,13780,
Mon Jan 13 2020,7:00p,Philadelphia 76ers,95,Indiana Pacers,101,Box Score,,15257,
Mon Jan 13 2020,7:30p,Chicago Bulls,101,Boston Celtics,113,Box Score,,19156,
Mon Jan 13 2020,8:00p,Oklahoma City Thunder,117,Minnesota Timberwolves,104,Box Score,,11044,
Mon Jan 13 2020,10:00p,Charlotte Hornets,112,Portland Trail Blazers,115,Box Score,,19111,
Mon Jan 13 2020,10:00p,Orlando Magic,114,Sacramento Kings,112,Box Score,,16299,
Mon Jan 13 2020,10:30p,Cleveland Cavaliers,99,Los Angeles Lakers,128,Box Score,,18997,
Tue Jan 14 2020,7:30p,Phoenix Suns,110,Atlanta Hawks,123,Box Score,,16060,
Tue Jan 14 2020,7:30p,Utah Jazz,118,Brooklyn Nets,107,Box Score,,15381,
Tue Jan 14 2020,8:00p,Houston Rockets,110,Memphis Grizzlies,121,Box Score,,16181,
Tue Jan 14 2020,8:00p,New York Knicks,102,Milwaukee Bucks,128,Box Score,,17590,
Tue Jan 14 2020,10:30p,Dallas Mavericks,124,Golden State Warriors,97,Box Score,,18064,
Tue Jan 14 2020,10:30p,Cleveland Cavaliers,103,Los Angeles Clippers,128,Box Score,,19068,
Wed Jan 15 2020,7:00p,Detroit Pistons,116,Boston Celtics,103,Box Score,,19156,
Wed Jan 15 2020,7:00p,Brooklyn Nets,106,Philadelphia 76ers,117,Box Score,,20416,
Wed Jan 15 2020,7:30p,San Antonio Spurs,100,Miami Heat,106,Box Score,,19704,
Wed Jan 15 2020,8:00p,Washington Wizards,106,Chicago Bulls,115,Box Score,,19382,
Wed Jan 15 2020,8:00p,Indiana Pacers,104,Minnesota Timberwolves,99,Box Score,,12648,
Wed Jan 15 2020,8:00p,Toronto Raptors,130,Oklahoma City Thunder,121,Box Score,,18203,
Wed Jan 15 2020,9:00p,Charlotte Hornets,86,Denver Nuggets,100,Box Score,,19520,
Wed Jan 15 2020,9:30p,Portland Trail Blazers,117,Houston Rockets,107,Box Score,,18055,
Wed Jan 15 2020,10:00p,Dallas Mavericks,127,Sacramento Kings,123,Box Score,,17029,
Wed Jan 15 2020,10:30p,Orlando Magic,119,Los Angeles Lakers,118,Box Score,,18997,
Thu Jan 16 2020,7:30p,Phoenix Suns,121,New York Knicks,98,Box Score,,18215,
Thu Jan 16 2020,8:00p,Boston Celtics,123,Milwaukee Bucks,128,Box Score,,17873,
Thu Jan 16 2020,8:00p,Utah Jazz,132,New Orleans Pelicans,138,Box Score,OT,16717,
Thu Jan 16 2020,10:30p,Denver Nuggets,134,Golden State Warriors,131,Box Score,OT,18064,
Thu Jan 16 2020,10:30p,Orlando Magic,95,Los Angeles Clippers,122,Box Score,,19068,
Fri Jan 17 2020,7:00p,Minnesota Timberwolves,114,Indiana Pacers,116,Box Score,,16248,
Fri Jan 17 2020,7:00p,Chicago Bulls,89,Philadelphia 76ers,100,Box Score,,20919,
Fri Jan 17 2020,7:00p,Washington Wizards,111,Toronto Raptors,140,Box Score,,19800,
Fri Jan 17 2020,8:00p,Cleveland Cavaliers,109,Memphis Grizzlies,113,Box Score,,17102,
Fri Jan 17 2020,8:00p,Miami Heat,115,Oklahoma City Thunder,108,Box Score,,18203,
Fri Jan 17 2020,8:30p,Atlanta Hawks,121,San Antonio Spurs,120,Box Score,,18354,
Fri Jan 17 2020,9:30p,Portland Trail Blazers,112,Dallas Mavericks,120,Box Score,,20283,
Sat Jan 18 2020,3:30p,Los Angeles Clippers,133,New Orleans Pelicans,130,Box Score,,17959,
Sat Jan 18 2020,6:00p,Milwaukee Bucks,117,Brooklyn Nets,97,Box Score,,17732,
Sat Jan 18 2020,7:00p,Phoenix Suns,123,Boston Celtics,119,Box Score,,19156,
Sat Jan 18 2020,7:30p,Detroit Pistons,136,Atlanta Hawks,103,Box Score,,17056,
Sat Jan 18 2020,7:30p,Philadelphia 76ers,90,New York Knicks,87,Box Score,,17812,
Sat Jan 18 2020,8:00p,Cleveland Cavaliers,116,Chicago Bulls,118,Box Score,,19939,
Sat Jan 18 2020,8:00p,Toronto Raptors,122,Minnesota Timberwolves,112,Box Score,,16520,
Sat Jan 18 2020,8:30p,Orlando Magic,95,Golden State Warriors,109,Box Score,,18064,
Sat Jan 18 2020,8:30p,Los Angeles Lakers,124,Houston Rockets,115,Box Score,,18502,
Sat Jan 18 2020,9:00p,Portland Trail Blazers,106,Oklahoma City Thunder,119,Box Score,,18203,
Sat Jan 18 2020,9:00p,Sacramento Kings,101,Utah Jazz,123,Box Score,,18306,
Sun Jan 19 2020,3:00p,Miami Heat,102,San Antonio Spurs,107,Box Score,,18422,
Sun Jan 19 2020,8:00p,Indiana Pacers,115,Denver Nuggets,107,Box Score,,19520,
Mon Jan 20 2020,2:00p,Detroit Pistons,100,Washington Wizards,106,Box Score,,17305,
Mon Jan 20 2020,2:30p,Toronto Raptors,122,Atlanta Hawks,117,Box Score,,17300,
Mon Jan 20 2020,3:00p,Philadelphia 76ers,117,Brooklyn Nets,111,Box Score,,16801,
Mon Jan 20 2020,5:00p,Orlando Magic,106,Charlotte Hornets,83,Box Score,,16133,
Mon Jan 20 2020,5:00p,New York Knicks,106,Cleveland Cavaliers,86,Box Score,,17133,
Mon Jan 20 2020,5:00p,Oklahoma City Thunder,112,Houston Rockets,107,Box Score,,18055,
Mon Jan 20 2020,5:00p,New Orleans Pelicans,126,Memphis Grizzlies,116,Box Score,,17794,
Mon Jan 20 2020,5:00p,Sacramento Kings,113,Miami Heat,118,Box Score,OT,19600,
Mon Jan 20 2020,5:00p,Chicago Bulls,98,Milwaukee Bucks,111,Box Score,,17747,
Mon Jan 20 2020,7:30p,Los Angeles Lakers,107,Boston Celtics,139,Box Score,,19156,
Mon Jan 20 2020,8:00p,Denver Nuggets,107,Minnesota Timberwolves,100,Box Score,,12172,
Mon Jan 20 2020,9:00p,San Antonio Spurs,120,Phoenix Suns,118,Box Score,,14847,
Mon Jan 20 2020,9:00p,Indiana Pacers,88,Utah Jazz,118,Box Score,,18306,
Mon Jan 20 2020,10:00p,Golden State Warriors,124,Portland Trail Blazers,129,Box Score,OT,19493,
Tue Jan 21 2020,8:30p,Los Angeles Clippers,110,Dallas Mavericks,107,Box Score,,19783,
Wed Jan 22 2020,7:00p,Sacramento Kings,106,Detroit Pistons,127,Box Score,,13972,
Wed Jan 22 2020,7:00p,Oklahoma City Thunder,120,Orlando Magic,114,Box Score,,18846,
Wed Jan 22 2020,7:00p,Philadelphia 76ers,95,Toronto Raptors,107,Box Score,,19800,
Wed Jan 22 2020,7:30p,Los Angeles Clippers,95,Atlanta Hawks,102,Box Score,,14338,
Wed Jan 22 2020,7:30p,Memphis Grizzlies,95,Boston Celtics,119,Box Score,,19156,
Wed Jan 22 2020,7:30p,Washington Wizards,129,Miami Heat,134,Box Score,OT,19600,
Wed Jan 22 2020,7:30p,Los Angeles Lakers,100,New York Knicks,92,Box Score,,19812,
Wed Jan 22 2020,8:00p,Minnesota Timberwolves,110,Chicago Bulls,117,Box Score,,18875,
Wed Jan 22 2020,8:00p,Denver Nuggets,105,Houston Rockets,121,Box Score,,18055,
Wed Jan 22 2020,9:00p,Indiana Pacers,112,Phoenix Suns,87,Box Score,,14691,
Wed Jan 22 2020,9:30p,San Antonio Spurs,121,New Orleans Pelicans,117,Box Score,,18365,
Wed Jan 22 2020,10:00p,Utah Jazz,129,Golden State Warriors,96,Box Score,,18064,
Thu Jan 23 2020,7:00p,Washington Wizards,124,Cleveland Cavaliers,112,Box Score,,16689,
Thu Jan 23 2020,8:00p,Los Angeles Lakers,128,Brooklyn Nets,113,Box Score,,17732,
Thu Jan 23 2020,10:30p,Dallas Mavericks,133,Portland Trail Blazers,125,Box Score,,19574,
Fri Jan 24 2020,3:00p,Milwaukee Bucks,116,Charlotte Hornets,103,Box Score,,15758,at Paris France
Fri Jan 24 2020,7:00p,Memphis Grizzlies,125,Detroit Pistons,112,Box Score,,14583,
Fri Jan 24 2020,7:00p,Boston Celtics,109,Orlando Magic,98,Box Score,,18846,
Fri Jan 24 2020,7:30p,Toronto Raptors,118,New York Knicks,112,Box Score,,18883,
Fri Jan 24 2020,8:00p,Sacramento Kings,98,Chicago Bulls,81,Box Score,,17661,
Fri Jan 24 2020,8:00p,Los Angeles Clippers,122,Miami Heat,117,Box Score,,19632,
Fri Jan 24 2020,8:00p,Houston Rockets,131,Minnesota Timberwolves,124,Box Score,,16101,
Fri Jan 24 2020,8:00p,Denver Nuggets,113,New Orleans Pelicans,106,Box Score,,16398,
Fri Jan 24 2020,8:00p,Atlanta Hawks,111,Oklahoma City Thunder,140,Box Score,,18203,
Fri Jan 24 2020,8:30p,Phoenix Suns,103,San Antonio Spurs,99,Box Score,,18354,
Fri Jan 24 2020,10:30p,Indiana Pacers,129,Golden State Warriors,118,Box Score,,18064,
Sat Jan 25 2020,5:00p,Dallas Mavericks,107,Utah Jazz,112,Box Score,,18306,
Sat Jan 25 2020,7:00p,Brooklyn Nets,121,Detroit Pistons,111,Box Score,OT,15890,
Sat Jan 25 2020,8:00p,Chicago Bulls,118,Cleveland Cavaliers,106,Box Score,,19432,
Sat Jan 25 2020,8:00p,Oklahoma City Thunder,113,Minnesota Timberwolves,104,Box Score,,16236,
Sat Jan 25 2020,8:30p,Los Angeles Lakers,91,Philadelphia 76ers,108,Box Score,,21109,
Sun Jan 26 2020,3:30p,Houston Rockets,110,Denver Nuggets,117,Box Score,,19520,
Sun Jan 26 2020,4:00p,Toronto Raptors,110,San Antonio Spurs,106,Box Score,,18354,
Sun Jan 26 2020,6:00p,Washington Wizards,133,Atlanta Hawks,152,Box Score,,15567,
Sun Jan 26 2020,6:00p,Phoenix Suns,109,Memphis Grizzlies,114,Box Score,,17214,
Sun Jan 26 2020,6:00p,Boston Celtics,108,New Orleans Pelicans,123,Box Score,,16737,
Sun Jan 26 2020,6:00p,Brooklyn Nets,97,New York Knicks,110,Box Score,,17831,
Sun Jan 26 2020,6:00p,Los Angeles Clippers,112,Orlando Magic,97,Box Score,,15427,
Sun Jan 26 2020,9:00p,Indiana Pacers,129,Portland Trail Blazers,139,Box Score,,19663,
Mon Jan 27 2020,7:00p,Cleveland Cavaliers,115,Detroit Pistons,100,Box Score,,12597,
Mon Jan 27 2020,7:30p,Orlando Magic,92,Miami Heat,113,Box Score,,19600,
Mon Jan 27 2020,8:00p,San Antonio Spurs,109,Chicago Bulls,110,Box Score,,16071,
Mon Jan 27 2020,8:00p,Sacramento Kings,133,Minnesota Timberwolves,129,Box Score,OT,13449,
Mon Jan 27 2020,8:00p,Dallas Mavericks,107,Oklahoma City Thunder,97,Box Score,,18203,
Mon Jan 27 2020,9:00p,Houston Rockets,126,Utah Jazz,117,Box Score,,18306,
Tue Jan 28 2020,7:00p,New York Knicks,92,Charlotte Hornets,97,Box Score,,14342,
Tue Jan 28 2020,7:00p,Golden State Warriors,104,Philadelphia 76ers,115,Box Score,,20854,
Tue Jan 28 2020,7:30p,New Orleans Pelicans,125,Cleveland Cavaliers,111,Box Score,,19432,
Tue Jan 28 2020,7:30p,Atlanta Hawks,114,Toronto Raptors,130,Box Score,,19800,
Tue Jan 28 2020,8:00p,Denver Nuggets,96,Memphis Grizzlies,104,Box Score,,14365,
Tue Jan 28 2020,8:00p,Boston Celtics,109,Miami Heat,101,Box Score,,19704,
Tue Jan 28 2020,8:00p,Washington Wizards,131,Milwaukee Bucks,151,Box Score,,17681,
Tue Jan 28 2020,8:30p,Phoenix Suns,133,Dallas Mavericks,104,Box Score,,20216,
Wed Jan 29 2020,7:00p,Chicago Bulls,106,Indiana Pacers,115,Box Score,OT,17923,
Wed Jan 29 2020,7:30p,Detroit Pistons,115,Brooklyn Nets,125,Box Score,,14275,
Wed Jan 29 2020,7:30p,Memphis Grizzlies,127,New York Knicks,106,Box Score,,18768,
Wed Jan 29 2020,8:30p,Utah Jazz,120,San Antonio Spurs,127,Box Score,,17887,
Wed Jan 29 2020,10:00p,Houston Rockets,112,Portland Trail Blazers,125,Box Score,,19393,
Wed Jan 29 2020,10:00p,Oklahoma City Thunder,120,Sacramento Kings,100,Box Score,,16935,
Thu Jan 30 2020,7:00p,Toronto Raptors,115,Cleveland Cavaliers,109,Box Score,,17695,
Thu Jan 30 2020,7:00p,Charlotte Hornets,107,Washington Wizards,121,Box Score,,15013,
Thu Jan 30 2020,7:30p,Philadelphia 76ers,117,Atlanta Hawks,127,Box Score,,15227,
Thu Jan 30 2020,8:00p,Golden State Warriors,104,Boston Celtics,119,Box Score,,19156,
Thu Jan 30 2020,10:30p,Utah Jazz,100,Denver Nuggets,106,Box Score,,19520,
Thu Jan 30 2020,10:30p,Sacramento Kings,124,Los Angeles Clippers,103,Box Score,,19068,
Fri Jan 31 2020,7:00p,Toronto Raptors,105,Detroit Pistons,92,Box Score,,17356,
Fri Jan 31 2020,7:30p,Chicago Bulls,118,Brooklyn Nets,133,Box Score,,17732,
Fri Jan 31 2020,7:30p,Dallas Mavericks,121,Houston Rockets,128,Box Score,,18055,
Fri Jan 31 2020,8:00p,Memphis Grizzlies,111,New Orleans Pelicans,139,Box Score,,18362,
Fri Jan 31 2020,9:00p,Denver Nuggets,127,Milwaukee Bucks,115,Box Score,,18141,
Fri Jan 31 2020,9:00p,Oklahoma City Thunder,111,Phoenix Suns,107,Box Score,,17260,
Fri Jan 31 2020,10:30p,Portland Trail Blazers,127,Los Angeles Lakers,119,Box Score,,18997,
